
Average Sentence Length,Number of features mentioned,Ratio of features mentioned,Total mentions of features,Number of nouns,Number of verbs,Ratio of nouns,Ratio of verbs,Review,Number of Paragraphs,Paragraph Separators,rating
147.0,1,1.0,1,34,21,0.23129251700680273,0.14285714285714285,147,1,0,very good
79.0,2,2.0,2,26,7,0.3291139240506329,0.08860759493670886,79,2,0,good
70.0,2,2.0,2,28,5,0.4,0.07142857142857142,70,1,0,very good
4.25,1,0.25,1,5,2,0.29411764705882354,0.11764705882352941,17,1,0,good
17.666666666666668,2,0.6666666666666666,2,12,9,0.22641509433962265,0.16981132075471697,53,3,0,very good
23.75,1,0.08333333333333333,6,72,44,0.25263157894736843,0.1543859649122807,285,7,0,very good
24.166666666666668,5,0.2777777777777778,8,134,70,0.3080459770114943,0.16091954022988506,435,20,2,awesome
13.0,0,0.0,0,2,3,0.15384615384615385,0.23076923076923078,13,1,0,good
12.25,0,0.0,0,16,7,0.32653061224489793,0.14285714285714285,49,1,0,good
15.31578947368421,5,0.2631578947368421,7,87,38,0.29896907216494845,0.13058419243986255,291,5,2,awesome
21.285714285714285,5,0.35714285714285715,6,87,40,0.29194630872483224,0.1342281879194631,298,13,2,awesome
29.23076923076923,1,0.07692307692307693,1,112,65,0.29473684210526313,0.17105263157894737,380,17,2,awesome
22.294117647058822,4,0.23529411764705882,8,88,51,0.23218997361477572,0.1345646437994723,379,15,2,awesome
25.083333333333332,5,0.4166666666666667,9,74,42,0.24584717607973422,0.13953488372093023,301,7,1,very good
12.846153846153847,1,0.07692307692307693,7,52,30,0.31137724550898205,0.17964071856287425,167,10,0,very good
102.5,4,2.0,6,51,32,0.24878048780487805,0.15609756097560976,205,5,0,awesome
10.5,4,0.6666666666666666,4,13,10,0.20634920634920634,0.15873015873015872,63,1,0,good
87.5,1,0.5,1,44,30,0.25142857142857145,0.17142857142857143,175,7,0,very good
16.055555555555557,7,0.3888888888888889,15,117,30,0.40484429065743943,0.10380622837370242,289,26,0,awesome
15.117647058823529,5,0.29411764705882354,9,60,42,0.23346303501945526,0.16342412451361868,257,2,0,awesome
10.5,0,0.0,0,5,3,0.23809523809523808,0.14285714285714285,21,1,0,good
29.1,7,0.14,20,377,212,0.259106529209622,0.1457044673539519,1455,74,1,bad
32.142857142857146,3,0.21428571428571427,3,142,53,0.31555555555555553,0.11777777777777777,450,18,2,awesome
43.857142857142854,0,0.0,0,99,42,0.32247557003257327,0.13680781758957655,307,16,0,awesome
21.217391304347824,8,0.34782608695652173,11,143,68,0.2930327868852459,0.13934426229508196,488,21,0,awesome
37.42857142857143,7,0.5,12,180,48,0.3435114503816794,0.0916030534351145,524,26,0,awesome
22.181818181818183,2,0.18181818181818182,2,57,43,0.2336065573770492,0.1762295081967213,244,3,0,very good
33.7037037037037,11,0.4074074074074074,30,274,115,0.3010989010989011,0.12637362637362637,910,48,1,awesome
23.0,7,0.3333333333333333,9,155,75,0.32091097308488614,0.15527950310559005,483,18,1,awesome
